,text1,text2,label
0,1 3 use_token 3 var1 colon2_token 3 ptr colon2_token NonNull semi_token 2 5 fn_token var2 3 lt_token 3 var3 colon_token var4 gt_token paren_token 3 ptr colon_token 2 NonNull 3 lt_token var3 gt_token 2 brace_token 2 unsafe_token 2 brace_token 4 4 4 ptr dot_token as_ref paren_token dot_token var5 paren_token dot_token var2 paren_token,3 2 4 pound_token bracket_token var1 tokens 4 pound_token bracket_token var2 tokens 3 pub_token paren_token var3 5 fn_token var4 3 lt_token 2 3 var5 colon_token var6 3 var7 colon_token var7llocator gt_token paren_token 2 3 ptr colon_token 2 var9 3 lt_token var5 gt_token 3 alloc colon_token var7 2 brace_token 2 unsafe_token 2 brace_token 4 4 let_token var10 3 var10_of_val paren_token 4 ptr dot_token as_ref paren_token semi_token 4 let_token var12 3 var13 paren_token 4 ptr dot_token as_ref paren_token semi_token 4 let_token var14 3 2 Layout var15 paren_token 2 var10 var12 semi_token 5 alloc dot_token deallocate paren_token 2 3 2 var16 from paren_token 4 ptr dot_token var17 paren_token var14,1
1,1 3 use_token 3 var1 colon2_token 3 ptr colon2_token NonNull semi_token 2 5 fn_token var2 3 lt_token 3 var3 colon_token var4 gt_token paren_token 3 ptr colon_token 2 NonNull 3 lt_token var3 gt_token 2 brace_token 2 unsafe_token 2 brace_token 4 4 4 ptr dot_token as_ref paren_token dot_token var5 paren_token dot_token var2 paren_token,2 3 pub_token paren_token var1 5 fn_token from_raw paren_token 3 ptr colon_token 3 star_token Mut var2 var3 2 brace_token 4 if_token 4 let_token 2 Some 2 paren_token ptr eq_token 4 ptr dot_token as_ref paren_token 2 brace_token 3 4 let_token var4 3 2 Arc from_raw paren_token 3 2 and_token 2 ptr dot_token as_token 3 star_token const_token var5 semi_token 4 let_token var4 3 2 mem 2 transmute 5 colon2_token Colon2 lt_token 2 2 Arc 3 lt_token var5 gt_token 2 var6 3 lt_token 2 var7 var8 gt_token gt_token paren_token var4 semi_token 3 var3 brace_token 2 colon_token 3 Some paren_token var4 2 brace_token 3 var3 brace_token 2 colon_token var9,1
2,1 3 use_token 3 var1 colon2_token 3 ptr colon2_token NonNull semi_token 2 5 fn_token var2 3 lt_token 3 var3 colon_token var4 gt_token paren_token 3 ptr colon_token 2 NonNull 3 lt_token var3 gt_token 2 brace_token 2 unsafe_token 2 brace_token 4 4 4 ptr dot_token as_ref paren_token dot_token var5 paren_token dot_token var2 paren_token,1 4 fn_token var1 paren_token 3 var2 colon_token 3 star_token Mut var3 2 brace_token 2 unsafe_token 2 brace_token 3 if_token 4 let_token 2 Some 2 paren_token var4 eq_token 4 var2 dot_token as_ref paren_token 2 brace_token 3 var5 bang_token tokens,1
3,1 3 use_token 3 var1 colon2_token 3 ptr colon2_token NonNull semi_token 2 5 fn_token var2 3 lt_token 3 var3 colon_token var4 gt_token paren_token 3 ptr colon_token 2 NonNull 3 lt_token var3 gt_token 2 brace_token 2 unsafe_token 2 brace_token 4 4 4 ptr dot_token as_ref paren_token dot_token var5 paren_token dot_token var2 paren_token,1 6 fn_token var1 3 lt_token 3 var2 colon_token var2ersion gt_token paren_token 3 ptr colon_token 3 star_token const_token 4 bracket_token var4 semi_token 2 var5 var6 var7 2 brace_token 4 let_token 3 var8 colon_token 2 and_token 4 bracket_token var4 semi_token 2 var5 var6 2 unsafe_token 2 brace_token 4 match_token 4 ptr dot_token as_ref paren_token brace_token 2 3 2 Some 2 paren_token var9 fat_arrow_token var9 3 var10 fat_arrow_token 2 return_token token semi_token,1
4,1 3 use_token 3 var1 colon2_token 3 ptr colon2_token NonNull semi_token 2 5 fn_token var2 3 lt_token 3 var3 colon_token var4 gt_token paren_token 3 ptr colon_token 2 NonNull 3 lt_token var3 gt_token 2 brace_token 2 unsafe_token 2 brace_token 4 4 4 ptr dot_token as_ref paren_token dot_token var5 paren_token dot_token var2 paren_token,2 pub_token 6 2 extern_token token fn_token var1 paren_token 3 var2 colon_token 3 star_token const_token 2 var3 3 lt_token 2 var4 var5 gt_token var6 2 brace_token 1 4 let_token var2 5 2 unsafe_token 2 brace_token 4 var2 dot_token as_ref paren_token dot_token expect paren_token token semi_token,1
5,3 2 4 pound_token bracket_token var1 tokens 4 pound_token bracket_token var2 tokens 3 pub_token paren_token var3 5 fn_token var4 3 lt_token 2 3 var5 colon_token var6 3 var7 colon_token var7llocator gt_token paren_token 2 3 ptr colon_token 2 var9 3 lt_token var5 gt_token 3 alloc colon_token var7 2 brace_token 2 unsafe_token 2 brace_token 4 4 let_token var10 3 var10_of_val paren_token 4 ptr dot_token as_ref paren_token semi_token 4 let_token var12 3 var13 paren_token 4 ptr dot_token as_ref paren_token semi_token 4 let_token var14 3 2 Layout var15 paren_token 2 var10 var12 semi_token 5 alloc dot_token deallocate paren_token 2 3 2 var16 from paren_token 4 ptr dot_token var17 paren_token var14,2 3 pub_token paren_token var1 5 fn_token from_raw paren_token 3 ptr colon_token 3 star_token Mut var2 var3 2 brace_token 4 if_token 4 let_token 2 Some 2 paren_token ptr eq_token 4 ptr dot_token as_ref paren_token 2 brace_token 3 4 let_token var4 3 2 Arc from_raw paren_token 3 2 and_token 2 ptr dot_token as_token 3 star_token const_token var5 semi_token 4 let_token var4 3 2 mem 2 transmute 5 colon2_token Colon2 lt_token 2 2 Arc 3 lt_token var5 gt_token 2 var6 3 lt_token 2 var7 var8 gt_token gt_token paren_token var4 semi_token 3 var3 brace_token 2 colon_token 3 Some paren_token var4 2 brace_token 3 var3 brace_token 2 colon_token var9,1
6,3 2 4 pound_token bracket_token var1 tokens 4 pound_token bracket_token var2 tokens 3 pub_token paren_token var3 5 fn_token var4 3 lt_token 2 3 var5 colon_token var6 3 var7 colon_token var7llocator gt_token paren_token 2 3 ptr colon_token 2 var9 3 lt_token var5 gt_token 3 alloc colon_token var7 2 brace_token 2 unsafe_token 2 brace_token 4 4 let_token var10 3 var10_of_val paren_token 4 ptr dot_token as_ref paren_token semi_token 4 let_token var12 3 var13 paren_token 4 ptr dot_token as_ref paren_token semi_token 4 let_token var14 3 2 Layout var15 paren_token 2 var10 var12 semi_token 5 alloc dot_token deallocate paren_token 2 3 2 var16 from paren_token 4 ptr dot_token var17 paren_token var14,1 4 fn_token var1 paren_token 3 var2 colon_token 3 star_token Mut var3 2 brace_token 2 unsafe_token 2 brace_token 3 if_token 4 let_token 2 Some 2 paren_token var4 eq_token 4 var2 dot_token as_ref paren_token 2 brace_token 3 var5 bang_token tokens,1
7,3 2 4 pound_token bracket_token var1 tokens 4 pound_token bracket_token var2 tokens 3 pub_token paren_token var3 5 fn_token var4 3 lt_token 2 3 var5 colon_token var6 3 var7 colon_token var7llocator gt_token paren_token 2 3 ptr colon_token 2 var9 3 lt_token var5 gt_token 3 alloc colon_token var7 2 brace_token 2 unsafe_token 2 brace_token 4 4 let_token var10 3 var10_of_val paren_token 4 ptr dot_token as_ref paren_token semi_token 4 let_token var12 3 var13 paren_token 4 ptr dot_token as_ref paren_token semi_token 4 let_token var14 3 2 Layout var15 paren_token 2 var10 var12 semi_token 5 alloc dot_token deallocate paren_token 2 3 2 var16 from paren_token 4 ptr dot_token var17 paren_token var14,1 6 fn_token var1 3 lt_token 3 var2 colon_token var2ersion gt_token paren_token 3 ptr colon_token 3 star_token const_token 4 bracket_token var4 semi_token 2 var5 var6 var7 2 brace_token 4 let_token 3 var8 colon_token 2 and_token 4 bracket_token var4 semi_token 2 var5 var6 2 unsafe_token 2 brace_token 4 match_token 4 ptr dot_token as_ref paren_token brace_token 2 3 2 Some 2 paren_token var9 fat_arrow_token var9 3 var10 fat_arrow_token 2 return_token token semi_token,1
8,3 2 4 pound_token bracket_token var1 tokens 4 pound_token bracket_token var2 tokens 3 pub_token paren_token var3 5 fn_token var4 3 lt_token 2 3 var5 colon_token var6 3 var7 colon_token var7llocator gt_token paren_token 2 3 ptr colon_token 2 var9 3 lt_token var5 gt_token 3 alloc colon_token var7 2 brace_token 2 unsafe_token 2 brace_token 4 4 let_token var10 3 var10_of_val paren_token 4 ptr dot_token as_ref paren_token semi_token 4 let_token var12 3 var13 paren_token 4 ptr dot_token as_ref paren_token semi_token 4 let_token var14 3 2 Layout var15 paren_token 2 var10 var12 semi_token 5 alloc dot_token deallocate paren_token 2 3 2 var16 from paren_token 4 ptr dot_token var17 paren_token var14,2 pub_token 6 2 extern_token token fn_token var1 paren_token 3 var2 colon_token 3 star_token const_token 2 var3 3 lt_token 2 var4 var5 gt_token var6 2 brace_token 1 4 let_token var2 5 2 unsafe_token 2 brace_token 4 var2 dot_token as_ref paren_token dot_token expect paren_token token semi_token,1
9,2 3 pub_token paren_token var1 5 fn_token from_raw paren_token 3 ptr colon_token 3 star_token Mut var2 var3 2 brace_token 4 if_token 4 let_token 2 Some 2 paren_token ptr eq_token 4 ptr dot_token as_ref paren_token 2 brace_token 3 4 let_token var4 3 2 Arc from_raw paren_token 3 2 and_token 2 ptr dot_token as_token 3 star_token const_token var5 semi_token 4 let_token var4 3 2 mem 2 transmute 5 colon2_token Colon2 lt_token 2 2 Arc 3 lt_token var5 gt_token 2 var6 3 lt_token 2 var7 var8 gt_token gt_token paren_token var4 semi_token 3 var3 brace_token 2 colon_token 3 Some paren_token var4 2 brace_token 3 var3 brace_token 2 colon_token var9,1 4 fn_token var1 paren_token 3 var2 colon_token 3 star_token Mut var3 2 brace_token 2 unsafe_token 2 brace_token 3 if_token 4 let_token 2 Some 2 paren_token var4 eq_token 4 var2 dot_token as_ref paren_token 2 brace_token 3 var5 bang_token tokens,1
